round_id,club_id,number,par,tees
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,1,4,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""319"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""280"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""309"", ""par"": ""4""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,2,4,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""323"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""297"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""316"", ""par"": ""4""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,3,5,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""495"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""435"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""488"", ""par"": ""5""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,4,4,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""375"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""326"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""360"", ""par"": ""4""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,5,3,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""168"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""112"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""115"", ""par"": ""3""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,6,4,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""328"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""317"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""325"", ""par"": ""4""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,7,5,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""456"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""383"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""446"", ""par"": ""5""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,8,3,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""176"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""151"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""171"", ""par"": ""3""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,9,4,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""325"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""256"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""317"", ""par"": ""4""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,10,4,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""319"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""295"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""309"", ""par"": ""4""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,11,4,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""322"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""306"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""316"", ""par"": ""4""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,12,5,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""495"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""435"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""488"", ""par"": ""5""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,13,4,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""370"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""326"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""359"", ""par"": ""4""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,14,3,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""130"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""113"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""121"", ""par"": ""3""}}"
07fde5f1-63b2-439e-9c2c-cebc92cd962c,13b48d48-e5c7-4e3c-8661-4a8c73392797,15,4,"{""be6a10d5-8493-42bc-927e-17fba150b09b"": ""344"", ""a3d6ecb7-d610-45c0-a250-14b428fc7965"": ""327"", ""935b94d8-3ef5-42f2-8fdd-24c81fce5353"": {""distance"": ""339"", ""par"": ""4""}}"
