gps_disponible,nombre,tipo,ubicacion,url
True,Abama Golf,18-hole course,"Guia de Isora, TEN, Spain",showcourse.php?cid=1227792771334
True,Águilas Club de Golf Isla del Fraile,18-hole course,"Águilas, Murcia, Spain",showcourse.php?cid=1683087419301315
True,aguilon,18-hole course,"Pulpi, Spain",showcourse.php?cid=1763579405725855
True,Aguilón Golf,18-hole course,"Pilar de Jaravia, AN, Spain",showcourse.php?cid=1315901238208
True,al haurin,no courses added,Spain,newcourseform.php?clid=1676929690333312
True,Albatros Golf,Albatros,"Arteixo, Spain",showcourse.php?cid=1526186882898313
True,Alborán Golf,18-hole course,"Almería, AN, Spain",showcourse.php?cid=1257342537543
True,Alcarria Golf Valdeluz,18-hole course,"Yebes, Guadalajara, Spain",showcourse.php?cid=1255970181021
True,Aldeamayor Golf Club,Championship,"Valladolid, CL, Spain",showcourse.php?cid=1132652837430
True,Aldeamayor Golf Club,Pares 3,"Valladolid, CL, Spain",showcourse.php?cid=1333187345571
True,Alenda Golf Club,18-hole course,"Monforte del Cid, VC, Spain",showcourse.php?cid=1204994207984
True,Alhama Signature Golf,18-hole course,"Alhama de Murcia, MC, Spain",showcourse.php?cid=1322468647080
True,Alhaurin Golf Club,18-hole course,"Alhaurín el Grande, AN, Spain",showcourse.php?cid=1214590642462
True,Alicante Golf,18-hole course,"Alicante (Alacant), VC, Spain",showcourse.php?cid=1323793698312025
True,Almenara Golf Club,Pinos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_1
True,Almenara Golf Club,Alcornoques,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_2_2
True,Almenara Golf Club,Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_3_3
True,Almenara Golf Club,Pinos + Alcornoques,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_2
True,Almenara Golf Club,Pinos + Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_3
True,Almenara Golf Club,Alcornoques + Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_2_3
True,Aloha Golf Club,18-hole course,"Marbella, AN, Spain",showcourse.php?cid=1226433353060
True,Altaona Golf & Country Village,18-hole course,"Murcia, MC, Spain",showcourse.php?cid=1641826993122666
True,Altea Club de Golf,18-hole course,"Altea la Vieja, VC, Spain",showcourse.php?cid=1187507270693
True,Amarilla Golf Club,18-hole course,"Tenerife, CN, Spain",showcourse.php?cid=1201468819016
True,Amarilla Golf Club,P&P,"Tenerife, CN, Spain",showcourse.php?cid=1457429296379704
True,Anfi Tauro Golf,18-holes course,"Mogàn, CN, Spain",showcourse.php?cid=1218958297900
True,Anfi Tauro Golf,Par3,"Mogàn, CN, Spain",showcourse.php?cid=1695305262791668
True,Angeles de San Rafael,18-hole course,"El Espinar (Segovia), SG, Spain",showcourse.php?cid=1299688483665
True,Añoreta Resort & Golf,18-hole course,"Rincón de la Victoria, AN, Spain",showcourse.php?cid=1339668734732
True,Aravell Golf,Aravell golf,"Montferrer, cat, Spain",showcourse.php?cid=1319465179540015
True,Arcos Gardens,18-hole course,"Arcos de la Frontera, Cad, Spain",showcourse.php?cid=1336982897746414
True,Arcosur Golf,9-hole course,"Zaragoza, AR, Spain",showcourse.php?cid=1520779996779304
True,Asociación de Golf Villa de El Escorial,9 hoyos,"El Escorial, Spain",showcourse.php?cid=1722514980582688
True,Atalaya Golf & Country Club,New Course,"Estepona, AN, Spain",showcourse.php?cid=1193576081417
True,Atalaya Golf & Country Club,Old Course,"Estepona, AN, Spain",showcourse.php?cid=1252753771761
True,Augas Santas Golf,Augas Santas Golf,"Ferreira de Panton, Lug, Spain",showcourse.php?cid=1443044606568994
True,Azata Golf,18-hole course,"Estepona, AN, Spain",showcourse.php?cid=1634805495471023
True,Balneario de Mondariz,18-hole course,"Mondariz Balneario, Spain",showcourse.php?cid=1110306352538
True,Banús Executive Golf,9-hole course,"Marbella, AN, Spain",showcourse.php?cid=1620927786874072
True,Barberán y Collar,18-hole course,"MADRID, Spain",showcourse.php?cid=1512160481468605
True,Barberán y Collar,Barberán,"MADRID, Spain",showcourse.php?cid=1314261167272
True,Barberán y Collar,Dehesa Militar,"MADRID, Spain",showcourse.php?cid=1512160510662261
True,Barceló Montecastillo Golf,18-hole course,"Jerez de la Frontera, AN, Spain",showcourse.php?cid=1241692011532
True,Base Aerea de Zaragoza,Base Aerea de Zaragoza,"Zaragoza, Spain",showcourse.php?cid=1348351276359881
True,Base Area de Torrejón,18-hole course,"Torrejón de Ardoz, Mad, Spain",showcourse.php?cid=1253991527929
True,Base Naval Rota,Captain Jake Dennis,"Rota, CáD, Spain",showcourse.php?cid=1375658246266
True,Baviera Golf,Baviera,"Caleta de Vélez, AN, Spain",showcourse.php?cid=1333364987492817
True,Bellavista Golf Club,18-hole course,"Aljaraque, AN, Spain",showcourse.php?cid=1175968184303
True,Benalmádena Golf,9-hole course,"Málaga, AN, Spain",showcourse.php?cid=133258099160951
True,Abama Golf,18-hole course,"Guia de Isora, TEN, Spain",showcourse.php?cid=1227792771334
True,Águilas Club de Golf Isla del Fraile,18-hole course,"Águilas, Murcia, Spain",showcourse.php?cid=1683087419301315
True,aguilon,18-hole course,"Pulpi, Spain",showcourse.php?cid=1763579405725855
True,Aguilón Golf,18-hole course,"Pilar de Jaravia, AN, Spain",showcourse.php?cid=1315901238208
True,al haurin,no courses added,Spain,newcourseform.php?clid=1676929690333312
True,Albatros Golf,Albatros,"Arteixo, Spain",showcourse.php?cid=1526186882898313
True,Alborán Golf,18-hole course,"Almería, AN, Spain",showcourse.php?cid=1257342537543
True,Alcarria Golf Valdeluz,18-hole course,"Yebes, Guadalajara, Spain",showcourse.php?cid=1255970181021
True,Aldeamayor Golf Club,Championship,"Valladolid, CL, Spain",showcourse.php?cid=1132652837430
True,Aldeamayor Golf Club,Pares 3,"Valladolid, CL, Spain",showcourse.php?cid=1333187345571
True,Alenda Golf Club,18-hole course,"Monforte del Cid, VC, Spain",showcourse.php?cid=1204994207984
True,Alhama Signature Golf,18-hole course,"Alhama de Murcia, MC, Spain",showcourse.php?cid=1322468647080
True,Alhaurin Golf Club,18-hole course,"Alhaurín el Grande, AN, Spain",showcourse.php?cid=1214590642462
True,Alicante Golf,18-hole course,"Alicante (Alacant), VC, Spain",showcourse.php?cid=1323793698312025
True,Almenara Golf Club,Pinos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_1
True,Almenara Golf Club,Alcornoques,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_2_2
True,Almenara Golf Club,Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_3_3
True,Almenara Golf Club,Pinos + Alcornoques,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_2
True,Almenara Golf Club,Pinos + Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_1_3
True,Almenara Golf Club,Alcornoques + Lagos,"Sotogrande, AN, Spain",showcourse.php?cid=1285587187320_2_3
True,Aloha Golf Club,18-hole course,"Marbella, AN, Spain",showcourse.php?cid=1226433353060
True,Altaona Golf & Country Village,18-hole course,"Murcia, MC, Spain",showcourse.php?cid=1641826993122666
True,Altea Club de Golf,18-hole course,"Altea la Vieja, VC, Spain",showcourse.php?cid=1187507270693
True,Amarilla Golf Club,18-hole course,"Tenerife, CN, Spain",showcourse.php?cid=1201468819016
True,Amarilla Golf Club,P&P,"Tenerife, CN, Spain",showcourse.php?cid=1457429296379704
True,Anfi Tauro Golf,18-holes course,"Mogàn, CN, Spain",showcourse.php?cid=1218958297900
True,Anfi Tauro Golf,Par3,"Mogàn, CN, Spain",showcourse.php?cid=1695305262791668
True,Angeles de San Rafael,18-hole course,"El Espinar (Segovia), SG, Spain",showcourse.php?cid=1299688483665
True,Añoreta Resort & Golf,18-hole course,"Rincón de la Victoria, AN, Spain",showcourse.php?cid=1339668734732
True,Aravell Golf,Aravell golf,"Montferrer, cat, Spain",showcourse.php?cid=1319465179540015
True,Arcos Gardens,18-hole course,"Arcos de la Frontera, Cad, Spain",showcourse.php?cid=1336982897746414
True,Arcosur Golf,9-hole course,"Zaragoza, AR, Spain",showcourse.php?cid=1520779996779304
True,Asociación de Golf Villa de El Escorial,9 hoyos,"El Escorial, Spain",showcourse.php?cid=1722514980582688
True,Atalaya Golf & Country Club,New Course,"Estepona, AN, Spain",showcourse.php?cid=1193576081417
True,Atalaya Golf & Country Club,Old Course,"Estepona, AN, Spain",showcourse.php?cid=1252753771761
True,Augas Santas Golf,Augas Santas Golf,"Ferreira de Panton, Lug, Spain",showcourse.php?cid=1443044606568994
True,Azata Golf,18-hole course,"Estepona, AN, Spain",showcourse.php?cid=1634805495471023
True,Balneario de Mondariz,18-hole course,"Mondariz Balneario, Spain",showcourse.php?cid=1110306352538
True,Banús Executive Golf,9-hole course,"Marbella, AN, Spain",showcourse.php?cid=1620927786874072
